event_id,session_id,start_time,end_time,duration_s,rms_mean,rms_max,peak_max,borderline,wav_path,notes,public_detections_count,public_species_unique,public_total_duration_s,public_top_species_by_count,public_top_species_by_duration
event_20260111_083329_126,20260111_003017,2026-01-11T08:33:29+01:00,2026-01-11T08:33:33+01:00,6.14,0.002595,,0.04319,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083329_126.wav,,0,0,0.0,,
event_20260111_083414_127,20260111_003017,2026-01-11T08:34:14+01:00,2026-01-11T08:34:19+01:00,8.19,0.008485,,0.0603,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083414_127.wav,,0,0,0.0,,
event_20260111_083549_128,20260111_003017,2026-01-11T08:35:49+01:00,2026-01-11T08:35:59+01:00,13.65,0.00996,,0.06285,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083549_128.wav,,0,0,0.0,,
event_20260111_083622_129,20260111_003017,2026-01-11T08:36:22+01:00,2026-01-11T08:36:30+01:00,10.92,0.00739,,0.05591,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083622_129.wav,,0,0,0.0,,
event_20260111_083638_130,20260111_003017,2026-01-11T08:36:38+01:00,2026-01-11T08:36:41+01:00,6.14,0.00268,,0.05619,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083638_130.wav,,0,0,0.0,,
event_20260111_083716_131,20260111_003017,2026-01-11T08:37:16+01:00,2026-01-11T08:37:19+01:00,6.14,0.0093499999999999,,0.04567,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083716_131.wav,,0,0,0.0,,
event_20260111_083728_132,20260111_003017,2026-01-11T08:37:28+01:00,2026-01-11T08:37:35+01:00,9.73,0.008515,,0.04295,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083728_132.wav,,0,0,0.0,,
event_20260111_083735_133,20260111_003017,2026-01-11T08:37:35+01:00,2026-01-11T08:37:41+01:00,6.14,0.006535,,0.04449,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083735_133.wav,,0,0,0.0,,
event_20260111_083748_134,20260111_003017,2026-01-11T08:37:48+01:00,2026-01-11T08:37:51+01:00,6.14,0.008545,,0.04544,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083748_134.wav,,0,0,0.0,,
event_20260111_083752_135,20260111_003017,2026-01-11T08:37:52+01:00,2026-01-11T08:37:57+01:00,6.14,0.00583,,0.04407,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083752_135.wav,,0,0,0.0,,
event_20260111_083802_136,20260111_003017,2026-01-11T08:38:02+01:00,2026-01-11T08:38:05+01:00,6.31,0.00962,,0.05668,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083802_136.wav,,0,0,0.0,,
event_20260111_083807_137,20260111_003017,2026-01-11T08:38:07+01:00,2026-01-11T08:38:11+01:00,6.14,0.00887,,0.0561,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083807_137.wav,,0,0,0.0,,
event_20260111_083813_138,20260111_003017,2026-01-11T08:38:13+01:00,2026-01-11T08:38:19+01:00,8.19,0.009445,,0.05443,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083813_138.wav,,0,0,0.0,,
event_20260111_083832_139,20260111_003017,2026-01-11T08:38:32+01:00,2026-01-11T08:38:40+01:00,11.09,0.008455,,0.06744,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083832_139.wav,,0,0,0.0,,
event_20260111_083845_140,20260111_003017,2026-01-11T08:38:45+01:00,2026-01-11T08:38:51+01:00,9.22,0.0094349999999999,,0.08037,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083845_140.wav,,0,0,0.0,,
event_20260111_083900_141,20260111_003017,2026-01-11T08:39:00+01:00,2026-01-11T08:39:18+01:00,20.82,0.0075149999999999,,0.06667,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083900_141.wav,,0,0,0.0,,
event_20260111_083926_142,20260111_003017,2026-01-11T08:39:26+01:00,2026-01-11T08:39:33+01:00,10.07,0.005045,,0.04851,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083926_142.wav,,0,0,0.0,,
event_20260111_084001_143,20260111_003017,2026-01-11T08:40:01+01:00,2026-01-11T08:40:07+01:00,9.73,0.00917,,0.04503,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084001_143.wav,,0,0,0.0,,
event_20260111_084011_144,20260111_003017,2026-01-11T08:40:11+01:00,2026-01-11T08:40:17+01:00,9.05,0.0172049999999999,,0.13818,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084011_144.wav,,0,0,0.0,,
event_20260111_084018_145,20260111_003017,2026-01-11T08:40:18+01:00,2026-01-11T08:40:27+01:00,9.73,0.0060999999999999,,0.04174,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084018_145.wav,,0,0,0.0,,
event_20260111_084058_146,20260111_003017,2026-01-11T08:40:58+01:00,2026-01-11T08:41:02+01:00,6.14,0.00825,,0.04399,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084058_146.wav,,0,0,0.0,,
event_20260111_084104_147,20260111_003017,2026-01-11T08:41:04+01:00,2026-01-11T08:41:10+01:00,8.53,0.00552,,0.05053,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084104_147.wav,,0,0,0.0,,
event_20260111_084135_148,20260111_003017,2026-01-11T08:41:35+01:00,2026-01-11T08:41:39+01:00,7.0,0.0102149999999999,,0.06193,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084135_148.wav,,0,0,0.0,,
event_20260111_084253_149,20260111_003017,2026-01-11T08:42:53+01:00,2026-01-11T08:42:56+01:00,6.14,0.0059949999999999,,0.04471,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084253_149.wav,,0,0,0.0,,
event_20260111_084256_150,20260111_003017,2026-01-11T08:42:56+01:00,2026-01-11T08:43:02+01:00,6.14,0.0091,,0.06158,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084256_150.wav,,0,0,0.0,,
event_20260111_084307_151,20260111_003017,2026-01-11T08:43:07+01:00,2026-01-11T08:43:12+01:00,7.68,0.00631,,0.04276,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084307_151.wav,,0,0,0.0,,
event_20260111_084325_152,20260111_003017,2026-01-11T08:43:25+01:00,2026-01-11T08:43:32+01:00,9.73,0.00806,,0.04534,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084325_152.wav,,0,0,0.0,,
event_20260111_084333_153,20260111_003017,2026-01-11T08:43:33+01:00,2026-01-11T08:43:38+01:00,6.14,0.007225,,0.0421,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084333_153.wav,,0,0,0.0,,
event_20260111_084403_154,20260111_003017,2026-01-11T08:44:03+01:00,2026-01-11T08:44:06+01:00,6.14,0.002345,,0.04383,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084403_154.wav,,0,0,0.0,,
event_20260111_084408_155,20260111_003017,2026-01-11T08:44:08+01:00,2026-01-11T08:44:19+01:00,12.8,0.013635,,0.12111,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084408_155.wav,,0,0,0.0,,
event_20260111_084420_156,20260111_003017,2026-01-11T08:44:20+01:00,2026-01-11T08:44:25+01:00,6.14,0.005685,,0.04256,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084420_156.wav,,0,0,0.0,,
event_20260111_084425_157,20260111_003017,2026-01-11T08:44:25+01:00,2026-01-11T08:44:31+01:00,6.14,0.00982,,0.05507,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084425_157.wav,,0,0,0.0,,
event_20260111_084502_158,20260111_003017,2026-01-11T08:45:02+01:00,2026-01-11T08:45:06+01:00,7.51,0.005785,,0.05052,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084502_158.wav,,0,0,0.0,,
